ID;code;name
31573102-8341-11ec-a8a3-0242ac120002;P-1001;ZQM Snow white
31573314-8341-11ec-a8a3-0242ac120002;P-1002;ZHJ Pearl White & ZQM Snow white
04b53204-6699-4b44-badb-92a863acfdda;P-1003;Soflex 3500 conductive Middle grey primer
9fe24d63-acd4-42f4-a7f4-2b60d4effecd;P-1004;Mag. HP 1st B/C Dark Grey
2d26ec4e-4c3b-4fd4-86f5-afbbdf8a6f44;P-1005;Top coat Golden Yellow for commercial vehicles
2f4cdfcc-d79a-496b-942f-e9df1014d9e0;P-1006;1K base coat Racing Yellow
431b3b67-6ef6-446e-aa23-d33c987ad31a;P-1007;PU 1C Siren Blue
4266b4a0-c0d9-492f-b4aa-4adbaf3d5c58;P-1008;FB800
c3ae423a-9c8d-4dab-88e1-04f941ae2d57;P-1009;KP200
6157d5cc-5823-49fe-b4b8-5a20ca6c8b87;P-1010;KP-100 R-340C (T/C) Candy Rosy Red
20bfb1ed-6bc5-46dd-ab13-74c15201e25d;P-1011;KP-100 NH-1 Black
d09c0d11-22f9-4597-bed3-7398dea780ed;P-1012;MAGICRON TC 71-1 CLEAR
83cf9e7c-55a4-45f0-8f42-adf522b30481;P-1013;SFX NH-1 Black
fd6f9341-e6b9-407e-888d-413c5c9f739e;P-1014;SFX3500Pr
676d9677-20fd-4be8-80b5-cf16547467e7;P-1015;Magicron 5700 BC
f7fb14cc-d701-4572-bc19-b14cf180aa27;P-1016;HM-32
0051664c-240f-4f21-bdcc-304d92b1627c;P-1017;PU
97ac1306-e13d-41e5-83bc-cd278ce146cc;P-1018;GT100
41cf0a4a-8f71-4a7c-8248-0eb6df57b128;P-1019;LB200
5ce95f35-9a77-49f7-9536-0ee7e1acf3f5;P-1020;TSA MONOCOAT QNV BRONZE SUZUKI PT
956b7a92-17f2-4ed5-8232-d9b5fef7d051;P-1021;MX100
b368f186-a027-407a-97a6-a170adb619e3;P-1022;T-5H/HS81
2abbff00-9cc4-4258-9d2b-a635e5dd4ce9;P-1023;WBC-721H NH-578 Solid White
6ba8e422-a6aa-4c2a-9832-e8e1762d4224;P-1024;SFX5550Clear
2d3da840-2174-496e-a296-15d6966ad2b0;P-1025;MAGICRON NO.K23 SILVER
adfaa2b1-8ebc-4c88-94bf-4cf7da69fa82;P-1026;Uni Base  Coat
4fffb9c8-33de-4bd1-95dc-2f147bef0ed0;P-1027;TM-13(T) NO.040
d0c371e4-fde2-471d-98ad-636c9f9cad4b;P-1028;Soflex 420T Sterling Silver CSU10025
3e4e2a19-cc6a-4cb6-a68b-7501668fba00;P-1029;Soflex 420T Plating Silver CKH10081
a9311e01-baac-438d-a076-7ce42b94de09;P-1030;Neo Amilac Real Black ZBC
e7dc193f-60aa-45e3-8aef-9eb00f76e642;P-1031;Soflex 650MK-1 11BK01
c6764230-bb16-4718-a648-bba2f3c9364d;P-1032;Magicron MB-30 U33
ae85df4d-3b59-46ac-88f8-75654d7fc116;P-1033;Magicron TB-516-C 5W11
55bb15ac-54a0-4108-875f-4e6cc5fbd29f;P-1034;PU Mica Clear MSIL
5ec7a4c7-597a-4953-aab8-eb6c1bbf4ff1;P-1035;SFX415H
ac7a538d-6f13-40b0-bf30-c085106fdb80;P-1036;WBC-720H R-575M
3eb174f8-61a5-4f02-bf8c-ac29a695f5f8;P-1037;SFX520MClear
7b02f8f6-dc06-4fab-8f62-3160af3ac8d7;P-1038;SFX500HClear
45b87570-5079-4cbe-ab12-4d64eef82acb;P-1039;MAGICRON NO.EBB ORANGE
6c165e0f-115a-44a9-ba94-3533a4a08268;P-1040;WBC-713T (G/W NO.1)
4a33807a-e085-4824-bba0-1edb8a0d320c;P-1041;WBC-720H B-593M
7787e0d7-3a98-4f47-a418-30b613d6d6d7;P-1042;PG-60(KAI)No.040
2db93f6f-e2ba-4879-b1ef-971b5795d939;P-1043;Soflex NT No.EBB Orange
4aba1a52-e4fe-44d6-8107-70ee212ef4a0;P-1044;TP-65 NO.8110 DARK GRAY
3bba29ef-413a-4fde-9caa-896e1c9b4bcc;P-1045;TM-13RC, WBC 713T NO.1D4, 1G3
12a53b12-2127-4471-af51-a2c0fc528892;P-1046;PG-60(KAI)
2a008f28-ab27-455c-8681-a0319c6fca5a;P-1047;SOFLEX415H NH-788P CB
584a6da9-42d5-420a-84be-37b13d57a76a;P-1048;10% Neostain U-100
a5f8bd67-7a03-4472-8840-e0a293da5636;P-1049;50% Modaflow
41ace8de-6262-48e3-bfbe-ef3da07370de;P-1050;65% UVAN 28-65EHT
21cb74ec-b14f-4097-9f06-51c8bf9fc1d0;P-1051;Neo Amilac No. 527 Splash White
d3c97b03-91cf-4e25-b63e-4f9f3050f5c4;P-1052;KB516V
cb327822-1354-4252-b26a-3babc47f701c;P-1053;WBC-713D-3
13dc512c-2cb1-4f0f-b827-80ffbe671f7d;P-1054;3C-2B Atlantic Blue
a7656022-5a35-405f-ac28-f65fed571d34;P-1055;4C-1B Pearlescent White
